Student ID,Q1,Mid,Q2,Final,Attendance,Total,Grade
650910317,20,18,19,22,10,89,A
650910378,19,17,15,30,10,91,A
650910379,12,19,8,14,10,63,C
650910380,11,9,17,16,10,63,C
650910381,10,13,11,22,10,66,C+
650910382,16,20,10,22,10,78,B+
650910383,10,20,9,17,9,65,C+
650910384,18,8,20,25,10,81,A
650910385,16,16,11,24,9,76,B+
650910386,9,19,20,24,10,82,A
650910387,8,12,10,24,9,63,C
650910490,10,20,12,30,9,81,A
650910491,14,20,14,30,9,87,A
650910492,12,12,8,20,10,62,C
650910493,8,13,19,16,10,66,C+
650910494,10,15,13,29,9,76,B+
650910495,10,11,12,17,9,59,D+
650910496,10,17,20,25,9,81,A
650910497,16,14,20,18,10,78,B+
650910498,17,19,12,27,10,85,A
650910499,10,14,8,16,9,57,D+
650910500,13,9,14,23,10,69,C+
650910501,20,16,9,24,10,79,B+
650910502,18,18,20,16,10,82,A
650910503,19,16,9,12,10,66,C+
650910504,19,18,18,26,9,90,A
650910505,19,13,13,13,9,67,C+
650910506,18,11,15,23,9,76,B+
650910507,8,10,16,13,9,56,D+
650910508,15,16,16,18,10,75,B+
650910509,13,14,19,30,9,85,A
650910510,19,9,19,29,10,86,A
650910511,19,19,10,17,10,75,B+
650910513,20,12,13,14,9,68,C+
650910514,20,20,11,12,10,73,B
650910515,14,11,9,19,10,63,C
650910516,9,13,19,25,10,76,B+
650910519,17,17,9,22,9,74,B
650910520,18,8,20,17,9,72,B
650910521,17,11,10,21,10,69,C+
650910522,12,8,11,14,10,55,D+
650910523,8,8,18,19,10,63,C
650910524,17,20,8,27,9,81,A
650910525,9,13,20,16,10,68,C+
650910526,9,17,16,24,10,76,B+
650910527,18,15,11,20,9,73,B
650910528,11,8,16,14,10,59,D+
650910529,17,11,8,19,10,65,C+
650910597,9,16,18,17,10,70,B
650910598,12,19,14,30,9,84,A
650910599,17,12,14,24,9,76,B+
650910600,8,10,17,28,9,72,B
650910601,19,9,18,15,9,70,B
650910602,9,18,17,12,9,65,C+
650910603,10,18,19,19,10,76,B+
650910604,20,17,8,19,10,74,B
650910605,19,15,14,12,10,70,B
650910606,15,10,12,14,9,60,C
650910607,15,11,19,17,9,71,B
650910608,20,14,11,22,10,77,B+
650910609,20,13,10,13,10,66,C+
650910610,18,19,12,16,10,75,B+
650910657,20,18,15,16,10,79,B+
650910658,11,13,20,25,9,78,B+
650910659,12,13,12,25,10,72,B
650910660,12,9,14,12,10,57,D+
650910661,12,8,9,28,10,67,C+
650910662,11,13,15,16,9,64,C
650910663,18,18,12,25,10,83,A
650910664,15,10,11,22,9,67,C+
650910665,18,10,13,24,10,75,B+
650910666,10,12,13,15,10,60,C
650910667,12,10,8,23,10,63,C
650910718,18,9,18,24,10,79,B+
650910719,13,16,13,25,10,77,B+
650910993,15,20,11,25,9,80,A
650910999,15,18,15,26,10,84,A
650911016,8,14,17,17,9,65,C+
